,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
15,4248,Nils Petersen,34,2415,11,8.716602399945259,2,3.7289467081427574,55,34,1,0,F M S,Freiburg,10,7.958825904875994,12.84362655878067,3.0478852037340403
16,83,Kevin Volland,27,2060,10,11.828394319862127,7,5.83227557502687,77,34,3,0,D F M S,Bayer Leverkusen,10,11.828394319862127,22.5965231731534,6.917990719899535
17,1236,Patrik Schick,22,1313,10,8.024200528860092,2,2.905747313052416,53,20,3,0,F S,RasenBallsport Leipzig,10,8.024200528860092,8.005280775949359,1.8391951993107796
18,3310,Alassane Pléa,27,2159,10,12.69919659011066,10,8.420420812442899,77,39,0,2,F M S,Borussia M.Gladbach,10,11.941495610401034,19.66848337650299,4.572907918132842
19,5992,Marcus Thuram,31,2225,10,11.053867347538471,8,7.944684710353613,57,31,3,0,F M S,Borussia M.Gladbach,10,11.053867347538471,19.860421150922775,4.331068869680166
20,208,Lars Stindl,25,1436,9,7.676672705449164,3,3.8779394030570984,34,27,4,0,F M S,Borussia M.Gladbach,7,6.161111720837653,14.309372838586569,6.691978396847844
21,5248,Marcel Sabitzer,32,2510,9,6.577639747411013,7,5.927564245648682,70,60,4,0,D F M S,RasenBallsport Leipzig,9,6.577639747411013,19.509904481470585,11.217108350247145
22,135,Yuya Osako,28,1879,8,6.274438977241516,2,1.9291004166007042,45,29,2,0,F M S,Werder Bremen,8,6.274438977241516,10.335629116743803,3.479801030829549
23,158,Bas Dost,24,1480,8,7.2235165275633335,2,1.9827608540654182,32,19,2,0,F S,Eintracht Frankfurt,8,7.2235165275633335,10.67036196961999,2.6332447975873947
24,224,Thomas Müller,33,2258,8,8.575404800474644,20,15.50623968243599,53,83,5,0,M S,Bayern Munich,8,8.575404800474644,36.35653913021088,18.292041327804327
25,267,Philipp Max,31,2722,8,3.4573481804691255,6,5.4739424381405115,36,59,5,0,D M,Augsburg,7,2.6995751983486116,10.657618255820125,5.777448889799416
26,488,Philippe Coutinho,23,1420,8,9.068954464048147,6,4.277333360165358,58,30,0,0,M S,Bayern Munich,7,8.311175432056189,19.347124218940735,8.967300929129124
27,2668,Martin Hinteregger,31,2721,8,4.827200001105666,1,1.4694775035604835,45,7,8,0,D S,Eintracht Frankfurt,8,4.827200001105666,8.395308817271143,7.30212827026844
28,3455,Raphael Guerreiro,29,2343,8,5.235047036781907,2,3.176345365587622,40,38,3,0,D M S,Borussia Dortmund,8,5.235047036781907,17.547660648822784,13.018503747880459
